"","V1","V2","V3","V4","total"
"200","2020",3,"1","@RealJamesWoods",28584
"201","2020",3,"2","@realDonaldTrump",23306
"202","2020",3,"2","@GirlNamedMarley",18842
"203","2020",3,"2","@Pogllins",10620
"204","2020",3,"2","@OHmes2",8462
"205","2020",3,"2","@MoHFWINDIA",8040
"206","2020",3,"3","@intothebrush",85848
"207","2020",3,"3","@realDonaldTrump",72478
"208","2020",3,"3","@RealJamesWoods",31013
"209","2020",3,"3","@galeforcerob",26148
"210","2020",3,"3","@WHO",26122
"211","2020",3,"4","@realDonaldTrump",83158
"212","2020",3,"4","@BarackObama",50977
"213","2020",3,"4","@adazzlinhaze",45271
"214","2020",3,"4","@ROSNALJU",41676
"215","2020",3,"4","@GOPLeader",30095
"216","2020",3,"5","@stayfrea",40061
"217","2020",3,"5","@realDonaldTrump",31659
"218","2020",3,"5","@NCStinn",9583
"219","2020",3,"5","@BarackObama",8773
"220","2020",3,"5","@adazzlinhaze",8107
"221","2020",3,"6","@realDonaldTrump",35508
"222","2020",3,"6","@tedlieu",14941
"223","2020",3,"6","@DrDenaGrayson",14798
"224","2020",3,"6","@elonmusk",12683
"225","2020",3,"6","@MyFavsTrash",11009
"226","2020",3,"7","@elonmusk",26508
"227","2020",3,"7","@realDonaldTrump",23098
"228","2020",3,"7","@ayoair",10214
"229","2020",3,"7","@goodmiad",9529
"230","2020",3,"7","@tedlieu",8982
"231","2020",3,"8","@realDonaldTrump",21394
"232","2020",3,"8","@KHJEsq",9332
"233","2020",3,"8","@samanthariggs",9298
"234","2020",3,"8","@tanawatofficial",8336
"235","2020",3,"8","@SJimons",7540
"236","2020",3,"9","@realDonaldTrump",31521
"237","2020",3,"9","@OfficiallyAlly",10177
"238","2020",3,"9","@BernieSanders",9825
"239","2020",3,"9","@DrPaulGosar",7526
"240","2020",3,"9","@jameshamblin",7513
"241","2020",3,"10","@realDonaldTrump",17848
"242","2020",3,"10","@ariannalp",5181
"243","2020",3,"10","@Nyscalo",5070
"244","2020",3,"10","@labisbeticah",4396
"245","2020",3,"10","@meaw8588",4265
"246","2020",3,"11","@realDonaldTrump",19062
"247","2020",3,"11","@WHO",14021
"248","2020",3,"11","@tastefullytayy",9651
"249","2020",3,"11","@juliaksksks",6345
"250","2020",3,"11","@kidmanscill",5884
"251","2020",3,"12","@realDonaldTrump",16388
"252","2020",3,"12","@juliaksksks",7312
"253","2020",3,"12","@Nazeefah",7126
"254","2020",3,"12","@WHO",6073
"255","2020",3,"12","@tinyunhwa",5934
"256","2020",3,"13","@realDonaldTrump",18082
"257","2020",3,"13","@WHO",5524
"258","2020",3,"13","@ravaskar",5511
"259","2020",3,"13","@SethAbramson",4954
"260","2020",3,"13","@BarackObama",4918
"261","2020",3,"14","@realDonaldTrump",16540
"262","2020",3,"14","@NicholsUprising",9362
"263","2020",3,"14","@HtownBabyG",6735
"264","2020",3,"14","@ohgeminii",6662
