Tweet_ID,NER_Text,Start_Pos,Eng_Pos,NER_Label,Prob
1578038368885252096,santitorrado1,154,167,PER,0.9997
1578038370185662464,pacovr53,4,12,PER,0.3894
1578038370185662464,covid-19,53,61,MISC,0.9996
1578038370185662464,dr,74,77,PER,0.9939
1578038370185662464,fernando garcía romanos,78,101,PER,0.9415
1578038370185662464,covid-19,126,134,MISC,0.9992
1578038374002311168,maitega28,4,13,PER,0.6092
1578038374002311168,covid,105,110,MISC,0.998
1578038374002311168,nueva esparta,114,127,LOC,1.0
1578038376258756608,norys,4,9,PER,0.9975
1578038376258756608,acosta,10,16,PER,0.9983
1578038376258756608,covid-19,78,86,MISC,0.9998
1578038376258756608,jguaido,89,96,PER,0.8234
1578038377253081088,c-la mancha,70,81,LOC,0.9999
1578038377253081088,gobie,134,139,MISC,0.9707
1578038383422554112,mpn,18,21,ORG,0.9999
1578038383422554112,corte suprema,92,105,ORG,0.9912
1578038386790891520,maitega28,4,13,PER,0.6092
1578038386790891520,covid,105,110,MISC,0.998
1578038386790891520,nueva esparta,114,127,LOC,1.0
1578038388112101376,vtvcanal8,4,13,ORG,0.9985
1578038388112101376,covid-19,40,48,MISC,0.9999
1578038388112101376,venezuela,50,59,LOC,0.9999
1578038388112101376,pueblocontechopropio,115,135,MISC,0.9991
1578038389902802946,el_jater,4,12,PER,0.9886
1578038391886999553,lasalitadelsin,1,15,ORG,0.9928
1578038391886999553,mina94580045,17,29,MISC,0.6454
1578038391886999553,lakra,38,43,MISC,0.5907
1578038391886999553,porkería,172,180,MISC,0.9996
1578038391886999553,covid,236,241,MISC,0.9998
1578038396089311232,brigadaschch,4,16,ORG,0.8756
1578038397397979136,medudeaciencia,4,18,ORG,0.9577
1578038397397979136,iatreiaudea,29,40,MISC,0.9401
1578038397397979136,sars-cov-2,116,126,MISC,0.9999
1578038400028139520,vtvcanal8,4,13,ORG,0.998
1578038400028139520,covid19,127,134,MISC,0.9998
1578038402796036097,danialonpri,4,15,ORG,0.999
1578038402796036097,comité olímpico,105,120,ORG,1.0
1578038403630657538,bangchan,4,12,ORG,0.9996
1578038403630657538,bang chan,55,64,ORG,0.7464
1578038403664338944,gobierno ayuso,41,55,ORG,0.9998
1578038403664338944,protocolo,66,75,MISC,0.9999
1578038404004315141,españa,71,77,LOC,1.0
1578038408034676737,danialonpri,4,15,ORG,0.999
1578038408034676737,comité olímpico,105,120,ORG,1.0
1578038408135512064,gobierno ayuso,41,55,ORG,0.9998
1578038408135512064,protocolo,66,75,MISC,0.9999
1578038408219283456,d213,4,8,ORG,0.9981
1578038408219283456,cz21,9,13,ORG,0.9989
1578038408219283456,destacamento 213,24,40,ORG,0.9998
1578038408219283456,co,136,138,MISC,0.997
1578038409079140352,valencia,60,68,LOC,1.0
1578038409079140352,yak 42,70,76,MISC,0.8577
1578038409079140352,eta,119,122,ORG,0.5682
1578038412929794049,manuel corona,12,25,PER,0.9999
1578038420147867648,paccampoelias2,4,18,ORG,0.9948
1578038420147867648,czgnb,42,47,ORG,1.0
1578038420147867648,trujillo,48,56,LOC,0.5312
1578038420727005191,pikipepi,4,12,ORG,0.9586
1578038420727005191,covid,68,73,MISC,0.974
1578038420727005191,atentado,90,98,MISC,0.987
1578038420727005191,nordstrem,102,111,MISC,0.9001
1578038420727005191,torres,131,137,MISC,0.8676
1578038420911316992,deimon40,4,12,PER,0.6611
1578038420911316992,pfizer,31,37,ORG,0.9999
1578038420911316992,albert bourla,39,52,PER,0.9997
1578038420911316992,parlamento europeo,119,137,ORG,0.9999
1578038421469241344,malthusgamba,4,16,PER,0.864
1578038421469241344,inegi,61,66,ORG,1.0
1578038422161149953,norys,4,9,PER,0.9975
1578038422161149953,acosta,10,16,PER,0.9983
1578038422161149953,covid-19,78,86,MISC,0.9998
1578038422161149953,jguaido,89,96,PER,0.8234
1578038434119053312,maitega28,4,13,PER,0.6092
1578038434119053312,covid,105,110,MISC,0.998
1578038434119053312,nueva esparta,114,127,LOC,1.0
1578038444601016321,covid-19,59,67,MISC,0.9997
1578038457393463296,unión europea,18,31,ORG,0.9998
1578038457393463296,reglamento de servicios digitales,49,82,MISC,0.9999
1578038461419790337,tamairycabrera,13,27,PER,0.9834
1578038461419790337,alexagomezdos,29,42,PER,0.9994
1578038461419790337,covid-19,117,125,MISC,0.9999
1578038472605978627,gobierno ayuso,41,55,ORG,0.9998
1578038472605978627,protocolo,66,75,MISC,0.9999
1578038473092521987,palomalopezb,4,16,PER,0.9978
1578038473092521987,quevergüenza inaceptable,112,136,MISC,0.9999
1578038473226735617,holguin,49,56,PER,0.9758
1578038473226735617,covid,120,125,PER,0.9996
1578038474472443911,brigadaschch,4,16,ORG,0.8756
1578038482991165441,abelprieto11,4,16,PER,0.9984
1578038482991165441,cuba,19,23,ORG,0.9538
1578038482991165441,estado,24,30,ORG,0.9962
1578038482991165441,covid-19,106,114,MISC,0.9998
1578038484170072068,char,64,68,PER,0.9998
1578038494278008834,el__kanalla__,4,17,ORG,0.9973
1578038494278008834,tv,22,24,ORG,0.6855
1578038494278008834,eeuu,28,32,LOC,1.0
1578038494278008834,phizer,77,83,MISC,0.9999
1578038494278008834,moderna,86,93,MISC,0.9999
1578038495737937922,secprensasv,4,15,ORG,0.9854
1578038495737937922,gobierno del presidente,42,65,ORG,0.9998
1578038499005145089,madrid,47,53,LOC,1.0
1578038499005145089,covid,176,181,ORG,0.9997
1578038499478949888,macaballeroma,4,17,PER,0.9158
1578038502885036032,gamarra,59,66,LOC,0.9999
1578038504486993920,lamadredesatan,4,18,ORG,0.9997
1578038504486993920,ministerio de sanidad,54,75,ORG,0.9947
1578038504486993920,españa,109,115,LOC,1.0
1578038504675606529,tony73,4,10,PER,0.8483
1578038504675606529,comisión europea,69,85,ORG,0.9999
1578038504675606529,pfizer,104,110,ORG,1.0
1578038506370510850,brigadaschch,4,16,ORG,0.8756
1578038507993501696,smoron,4,10,ORG,0.8897
1578038507993501696,vox,11,14,ORG,0.9998
1578038507993501696,gobaragon,45,54,ORG,0.9825
1578038507993501696,fondo covid,110,121,MISC,0.9982
1578038509495017472,covid19,67,74,MISC,0.9999
1578038510380281858,secprensasv,4,15,ORG,0.9896
1578038510380281858,tamizajecomunitario,17,36,MISC,0.9943
1578038510380281858,gobierno del presidente,42,65,ORG,0.9998
1578038511487266816,vtvcanal8,4,13,ORG,0.9985
1578038511487266816,covid-19,40,48,MISC,0.9999
1578038511487266816,venezuela,50,59,LOC,0.9999
1578038511487266816,pueblocontechopropio,115,135,MISC,0.9991
1578038521599623168,unión europea,18,31,ORG,0.9998
1578038521599623168,reglamento de servicios digitales,49,82,MISC,0.9999
1578038526880337920,brigadaschch,4,16,ORG,0.8756
1578038539605909505,c-la mancha,70,81,LOC,0.9999
1578038539605909505,gobie,134,139,MISC,0.9707
1578038541174640641,maitega28,4,13,PER,0.6092
1578038541174640641,covid,105,110,MISC,0.998
