"","Year","Month","Day","Text","Count"
"323",2021,6,24,"covid19",31591
"324",2021,6,24,"delta",13080
"325",2021,6,24,"abdala",6148
"326",2021,6,25,"covid-19",49255
"327",2021,6,25,"covid",41942
"328",2021,6,25,"covid19",34263
"329",2021,6,25,"delta",8842
"330",2021,6,25,"coronavirus",6299
"331",2021,6,28,"covid-19",41531
"332",2021,6,28,"covid",40824
"333",2021,6,28,"covid19",30041
"334",2021,6,28,"covid 19",7384
"335",2021,6,28,"coronavirus",5630
"336",2021,6,30,"covid-19",40714
"337",2021,6,30,"covid",34690
"338",2021,6,30,"covid19",30108
"339",2021,6,30,"coronavirus",7699
"340",2021,6,30,"delta",6743
"341",2021,7,1,"covid-19",42556
"342",2021,7,1,"covid",34469
"343",2021,7,1,"covid19",26246
"344",2021,7,1,"delta",6720
"345",2021,7,1,"coronavirus",6274
"346",2021,7,2,"covid-19",42892
"347",2021,7,2,"covid",32205
"348",2021,7,2,"covid19",29606
"349",2021,7,2,"delta",7499
"350",2021,7,2,"covid 19",5404
"351",2021,7,3,"covid-19",35288
"352",2021,7,3,"covid",27217
"353",2021,7,3,"covid19",24969
"354",2021,7,3,"delta",5036
"355",2021,7,3,"coronavirus",4746
"356",2021,7,4,"covid-19",33240
"357",2021,7,4,"covid",23664
"358",2021,7,4,"covid19",21921
"359",2021,7,4,"coronavirus",4840
"360",2021,7,4,"delta",4404
"361",2021,7,5,"covid-19",45911
"362",2021,7,5,"covid",37140
"363",2021,7,5,"covid19",27025
"364",2021,7,5,"coronavirus",7908
"365",2021,7,5,"delta",4890
"366",2021,7,6,"covid-19",56268
"367",2021,7,6,"covid",46239
"368",2021,7,6,"covid19",34190
"369",2021,7,6,"coronavirus",7662
"370",2021,7,6,"delta",5194
"371",2021,7,7,"covid-19",47692
"372",2021,7,7,"covid",44870
"373",2021,7,7,"covid19",33711
"374",2021,7,7,"coronavirus",6032
"375",2021,7,7,"delta",5448
"376",2021,7,8,"covid-19",46733
"377",2021,7,8,"covid19",38022
"378",2021,7,8,"covid",32571
"379",2021,7,8,"coronavirus",5401
"380",2021,7,8,"delta",4784
"381",2021,7,9,"covid-19",43276
"382",2021,7,9,"covid19",38179
"383",2021,7,9,"covid",32269
"384",2021,7,9,"coronavirus",5438
"385",2021,7,9,"delta",4652
"386",2021,7,10,"covid-19",34722
"387",2021,7,10,"covid19",31681
"388",2021,7,10,"covid",26058
"389",2021,7,10,"coronavirus",4445
"390",2021,7,10,"abdala",3891
"391",2021,7,14,"covid-19",47108
"392",2021,7,14,"covid",37798
"393",2021,7,14,"covid19",36683
"394",2021,7,14,"coronavirus",7490
