"","Year","Month","Day","hour","Sentiment","Count","Percentage"
"165","2020",1,31,7,"positive",149,0.0668461193360251
"166","2020",1,31,8,"negative",2921,0.826776110953864
"167","2020",1,31,8,"neutral",418,0.118313048400793
"168","2020",1,31,8,"positive",194,0.0549108406453439
"169","2020",1,31,9,"negative",2202,0.822255414488424
"170","2020",1,31,9,"neutral",330,0.123226288274832
"171","2020",1,31,9,"positive",146,0.0545182972367438
"172","2020",1,31,10,"negative",2619,0.811087023846392
"173","2020",1,31,10,"neutral",440,0.136265097553422
"174","2020",1,31,10,"positive",170,0.0526478786001858
"175","2020",1,31,11,"negative",4699,0.82193458107399
"176","2020",1,31,11,"neutral",738,0.129088682875634
"177","2020",1,31,11,"positive",280,0.0489767360503761
"178","2020",1,31,12,"negative",3646,0.828636363636364
"179","2020",1,31,12,"neutral",549,0.124772727272727
"180","2020",1,31,12,"positive",205,0.0465909090909091
"181","2020",1,31,13,"negative",5427,0.847703842549203
"182","2020",1,31,13,"neutral",714,0.111527647610122
"183","2020",1,31,13,"positive",261,0.0407685098406748
"184","2020",1,31,14,"negative",5625,0.845356176735798
"185","2020",1,31,14,"neutral",732,0.110009017132552
"186","2020",1,31,14,"positive",297,0.0446348061316501
"187","2020",1,31,15,"negative",3894,0.853760140320105
"188","2020",1,31,15,"neutral",475,0.104143828107871
"189","2020",1,31,15,"positive",192,0.0420960315720237
"190","2020",1,31,16,"negative",6203,0.849958892847355
"191","2020",1,31,16,"neutral",772,0.105782406138668
"192","2020",1,31,16,"positive",323,0.0442587010139764
"193","2020",1,31,17,"negative",5521,0.838293349529305
"194","2020",1,31,17,"neutral",787,0.119495900394777
"195","2020",1,31,17,"positive",278,0.0422107500759186
"196","2020",1,31,18,"negative",7806,0.844988092660749
"197","2020",1,31,18,"neutral",967,0.104676336869452
"198","2020",1,31,18,"positive",465,0.0503355704697987
"199","2020",1,31,19,"negative",6171,0.829881656804734
"200","2020",1,31,19,"neutral",886,0.119150080688542
"201","2020",1,31,19,"positive",379,0.050968262506724
"202","2020",1,31,20,"negative",6100,0.812034078807242
"203","2020",1,31,20,"neutral",995,0.132454739084132
"204","2020",1,31,20,"positive",417,0.0555111821086262
"205","2020",1,31,21,"negative",5921,0.827764574304488
"206","2020",1,31,21,"neutral",925,0.12931637075353
"207","2020",1,31,21,"positive",307,0.0429190549419824
"208","2020",1,31,22,"negative",7175,0.779976084356995
"209","2020",1,31,22,"neutral",1421,0.154473312316556
"210","2020",1,31,22,"positive",603,0.0655506033264485
"211","2020",1,31,23,"negative",7899,0.787851585876721
"212","2020",1,31,23,"neutral",1408,0.140434869339717
"213","2020",1,31,23,"positive",719,0.0717135447835627
"214","2020",2,1,0,"negative",7912,0.798385469223007
"215","2020",2,1,0,"neutral",1378,0.139051463168517
"216","2020",2,1,0,"positive",620,0.0625630676084763
"217","2020",2,1,1,"negative",6813,0.835438381361128
"218","2020",2,1,1,"neutral",975,0.119558553034948
"219","2020",2,1,1,"positive",367,0.045003065603924
"220","2020",2,1,2,"negative",4606,0.823087919942816
"221","2020",2,1,2,"neutral",700,0.125089349535382
"222","2020",2,1,2,"positive",290,0.0518227305218013
"223","2020",2,1,3,"negative",4828,0.823890784982935
"224","2020",2,1,3,"neutral",733,0.125085324232082
"225","2020",2,1,3,"positive",299,0.0510238907849829
"226","2020",2,1,4,"negative",433,0.77737881508079
"227","2020",2,1,4,"neutral",98,0.175942549371634
"228","2020",2,1,4,"positive",26,0.0466786355475763
"229","2020",2,1,5,"negative",318,0.811224489795918
"230","2020",2,1,5,"neutral",62,0.158163265306122
"231","2020",2,1,5,"positive",12,0.0306122448979592
"232","2020",2,1,6,"negative",308,0.797927461139896
"233","2020",2,1,6,"neutral",58,0.150259067357513
"234","2020",2,1,6,"positive",20,0.0518134715025907
"235","2020",2,1,7,"negative",260,0.760233918128655
"236","2020",2,1,7,"neutral",50,0.146198830409357
"237","2020",2,1,7,"positive",32,0.0935672514619883
"238","2020",2,1,8,"negative",297,0.748110831234257
"239","2020",2,1,8,"neutral",57,0.143576826196474
"240","2020",2,1,8,"positive",43,0.10831234256927
"241","2020",2,1,9,"negative",1797,0.79023746701847
"242","2020",2,1,9,"neutral",263,0.115655233069481
"243","2020",2,1,9,"positive",214,0.0941072999120492
"244","2020",2,1,10,"negative",3421,0.800233918128655
"245","2020",2,1,10,"neutral",474,0.110877192982456
"246","2020",2,1,10,"positive",380,0.0888888888888889
"247","2020",2,1,11,"negative",3748,0.811079852845704
"248","2020",2,1,11,"neutral",570,0.123349924258818
"249","2020",2,1,11,"positive",303,0.0655702228954772
"250","2020",2,1,12,"negative",7662,0.821750321750322
"251","2020",2,1,12,"neutral",1147,0.123015873015873
"252","2020",2,1,12,"positive",515,0.0552338052338052
"253","2020",2,1,13,"negative",5023,0.827376050074123
"254","2020",2,1,13,"neutral",739,0.121726239499259
"255","2020",2,1,13,"positive",309,0.0508977104266184
"256","2020",2,1,14,"negative",7673,0.8486893042805
"257","2020",2,1,14,"neutral",994,0.109943590310806
"258","2020",2,1,14,"positive",374,0.0413671054086937
"259","2020",2,1,15,"negative",4462,0.844276253547777
"260","2020",2,1,15,"neutral",595,0.112582781456954
"261","2020",2,1,15,"positive",228,0.0431409649952696
"262","2020",2,1,16,"negative",7563,0.836337498617715
"263","2020",2,1,16,"neutral",1044,0.115448413137233
"264","2020",2,1,16,"positive",436,0.0482140882450514
"265","2020",2,1,17,"negative",4937,0.830166470489322
"266","2020",2,1,17,"neutral",714,0.12006053472339
"267","2020",2,1,17,"positive",296,0.0497729947872877
"268","2020",2,1,18,"negative",8127,0.827428222357972
"269","2020",2,1,18,"neutral",1259,0.128181633068621
"270","2020",2,1,18,"positive",436,0.0443901445734066
"271","2020",2,1,19,"negative",6808,0.811635670004769
"272","2020",2,1,19,"neutral",1144,0.136385312350978
"273","2020",2,1,19,"positive",436,0.0519790176442537
"274","2020",2,1,20,"negative",6700,0.814490639435935
"275","2020",2,1,20,"neutral",1143,0.138949671772429
"276","2020",2,1,20,"positive",383,0.0465596887916363
"277","2020",2,1,21,"negative",9553,0.818594687232219
"278","2020",2,1,21,"neutral",1592,0.136418166238218
"279","2020",2,1,21,"positive",525,0.044987146529563
"280","2020",2,1,22,"negative",7166,0.809900542495479
"281","2020",2,1,22,"neutral",1169,0.132120253164557
"282","2020",2,1,22,"positive",513,0.0579792043399638
"283","2020",2,1,23,"negative",5300,0.819038788440736
"284","2020",2,1,23,"neutral",806,0.124555710091176
"285","2020",2,1,23,"positive",365,0.0564055014680884
"286","2020",2,2,0,"negative",5689,0.823776426295974
"287","2020",2,2,0,"neutral",892,0.129163046626122
"288","2020",2,2,0,"positive",325,0.0470605270779033
"289","2020",2,2,1,"negative",6367,0.836662286465177
"290","2020",2,2,1,"neutral",932,0.122470433639947
"291","2020",2,2,1,"positive",311,0.0408672798948752
"292","2020",2,2,2,"negative",7224,0.828060522696011
"293","2020",2,2,2,"neutral",1099,0.125974323704723
"294","2020",2,2,2,"positive",401,0.0459651535992664
"295","2020",2,2,3,"negative",3975,0.807270511779041
"296","2020",2,2,3,"neutral",573,0.116368805848903
"297","2020",2,2,3,"positive",376,0.0763606823720552
"298","2020",2,2,4,"negative",2778,0.787638219449957
"299","2020",2,2,4,"neutral",430,0.12191664303941
"300","2020",2,2,4,"positive",319,0.0904451375106323
